dataset,dataset_label,schedule,threads,chunk,time_best_ms,time_avg_ms,note,speedup_best,speedup_avg
in.pnm,small-in,seq,1,0,1.24693,2.2,baseline,1.0,1.0
in.pnm,small-in,static,1,0,4.68993,5.05,,0.26587,0.435643564356436
in.pnm,small-in,static,2,0,2.47312,2.568,,0.50419,0.856697819314642
in.pnm,small-in,static,4,0,1.30486,1.78,,0.95560,1.23595505617978
in.pnm,small-in,static,8,0,1.44315,1.85,,0.86403,1.18918918918919
in.pnm,small-in,static,16,0,2.25496,2.41,,0.55297,0.912863070539419
in.pnm,small-in,dynamic,1,0,4.0059,4.4892,,0.311273371776629,0.490065044996881
in.pnm,small-in,dynamic,2,0,29.7801,33.73,,0.0418712495928489,0.0652238363474652
in.pnm,small-in,dynamic,4,0,33.864,34.81,,0.0368216985589416,0.0632002298190175
in.pnm,small-in,dynamic,8,0,50.619,51.02,,0.0246336355913787,0.0431203449627597
in.pnm,small-in,dynamic,16,0,50.813,51.02,,0.0245395863263338,0.0431203449627597
big_8192x8192.pnm,large-8192,seq,1,0,78.685,80.928,baseline,1.0,1.0
big_8192x8192.pnm,large-8192,static,1,0,335.12,337.1732,,0.234796490809262,0.240019076249239
big_8192x8192.pnm,large-8192,static,2,0,194.513,195.725,,0.405,0.413
big_8192x8192.pnm,large-8192,static,4,0,121.725,123.341,,0.646,0.656
big_8192x8192.pnm,large-8192,static,8,0,107.902,112.503,,0.729,0.719
big_8192x8192.pnm,large-8192,static,16,0,128.867,135.8291,,0.611,0.595807525780558
big_8192x8192.pnm,large-8192,dynamic,1,0,334.569,336.1922,,0.235,0.240719445602843
big_8192x8192.pnm,large-8192,dynamic,2,0,4001.94,4038.23,,0.0196617140686767,0.0200404632722752
big_8192x8192.pnm,large-8192,dynamic,4,0,4168.72,4240.88,,0.0188750983515324,0.0190828318650846
big_8192x8192.pnm,large-8192,dynamic,8,0,6605.22,6614.14,,0.0119125479544966,0.0122356043264884
big_8192x8192.pnm,large-8192,dynamic,16,0,6605.22,6614.14,,0.0119125479544966,0.0122356043264884
big_8192x8192.pnm,large-8192,static,8,0,114.119,115.434,,0.689,0.701
big_8192x8192.pnm,large-8192,static,8,1,306.647,308.117,,0.257,0.263
big_8192x8192.pnm,large-8192,static,8,64,115.636,117.121,,0.680,0.691
big_8192x8192.pnm,large-8192,static,8,256,114.228,115.892,,0.689,0.698
big_8192x8192.pnm,large-8192,static,8,1024,111.417,113.587,,0.706,0.712
big_8192x8192.pnm,large-8192,static,8,2048,106.724,110.303,,0.737,0.734
big_8192x8192.pnm,large-8192,dynamic,8,0,6576.56,6602.02,,0.0119644616638486,0.0122580664705651
big_8192x8192.pnm,large-8192,dynamic,8,1,6565.32,6571.68,,0.0119849451359568,0.0123146592652107
big_8192x8192.pnm,large-8192,dynamic,8,64,159.198,162.854,,0.494,0.497
big_8192x8192.pnm,large-8192,dynamic,8,256,100.348,108.782,,0.784,0.744
big_8192x8192.pnm,large-8192,dynamic,8,1024,90.368,93.5361,,0.871,0.86520605413311
big_8192x8192.pnm,large-8192,dynamic,8,2048,89.1359,91.6159,,0.882753189231275,0.883340118909491
in2.pnm,small-in2,seq,1,0,1.36209,2.08923,baseline,1.0,1.0
in2.pnm,small-in2,static,8,0,1.52802,1.56713,,0.891408489417678,1.33315678980046
in2.pnm,small-in2,static,8,1,3.65806,3.92008,,0.372353105197837,0.532955960082447
in2.pnm,small-in2,static,8,64,1.55807,1.61386,,0.874216177707035,1.29455467016966
in2.pnm,small-in2,static,8,256,1.46508,1.53494,,0.929703497419936,1.36111509244661
in2.pnm,small-in2,static,8,1024,1.436,1.55298,,0.948530640668524,1.34530386740331
in2.pnm,small-in2,static,8,2048,1.47796,1.61219,,0.921601396519527,1.29589564505424
in2.pnm,small-in2,dynamic,8,0,49.9849,50.6041,,0.0272500295089117,0.0412857851438915
in2.pnm,small-in2,dynamic,8,1,49.931,51.074,,0.0272794456349763,0.0409059404002036
in2.pnm,small-in2,dynamic,8,64,1.6861,1.73712,,0.80783464800427,1.20269756838906
in2.pnm,small-in2,dynamic,8,256,1.29008,1.42407,,1.05581824382984,1.46708378099391
in2.pnm,small-in2,dynamic,8,1024,1.16014,1.20997,,1.17407381867706,1.72667917386381
in2.pnm,small-in2,dynamic,8,2048,1.0879,1.29509,,1.2520360327236,1.61319290551236
p6_half_gib.ppm,halfGB,seq,1,0,1454.25,1503.65,baseline,1.0,1.0
p6_half_gib.ppm,halfGB,dynamic,8,2048,612.296,741.9208,,2.37507676025974,2.02669880666508
p6_half_gib_2.ppm,halfGB2,seq,1,0,770.494,783.235,baseline,1.0,1.0
p6_half_gib_2.ppm,halfGB2,dynamic,1,2048,1329.74,1339.257,,0.579432069427106,0.584828005379102
p6_half_gib_2.ppm,halfGB2,dynamic,2,2048,683.651,707.561,,1.12702826442147,1.10695049614097
p6_half_gib_2.ppm,halfGB2,dynamic,4,2048,368.316,379.627,,2.09193735813812,2.06316990098175
p6_half_gib_2.ppm,halfGB2,dynamic,8,2048,327.953,354.493,,2.34940372553384,2.20945124445335
p6_half_gib_2.ppm,halfGB2,dynamic,16,2048,381.685,392.31,,2.0186646056303,1.99646962861003
p6_half_gib_2.ppm,halfGB2,static,1,2048,1290.77,1313.85,,0.59692586595598,0.596137306389618
p6_half_gib_2.ppm,halfGB2,static,2,2048,697.381,709.055,,1.10483939195361,1.10461811848164
p6_half_gib_2.ppm,halfGB2,static,4,2048,406.69,416.769,,1.89454867343677,1.87930244331992
p6_half_gib_2.ppm,halfGB2,static,8,2048,371.613,393.517,,2.07337741144685,1.99034603333528
p6_half_gib_2.ppm,halfGB2,static,16,2048,447.558,457.4388,,1.72155117325576,1.71221811529761
